City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Yellowknife,20,CA,1616149752,85,62.456,-114.3525,12.2,9.22
Aplahoué,100,BJ,1616150073,47,6.9333,1.6833,91.71,5.37
Okhotsk,0,RU,1616149948,68,59.3833,143.3,7.81,13.6
Klaksvík,73,FO,1616149762,93,62.2266,-6.589,46.4,9.22
São Félix do Xingu,98,BR,1616150040,97,-6.6447,-51.995,71.76,2.62
Cape Town,20,ZA,1616149759,53,-33.9258,18.4232,71.6,17.27
Port Lincoln,0,AU,1616149761,71,-34.7333,135.8667,68.7,12.35
Atuona,3,PF,1616149806,80,-9.8,-139.0333,79.56,13.18
Saint Paul Harbor,1,US,1616149749,42,57.79,-152.4072,21.2,13.8
Maumere,95,ID,1616150076,81,-8.6199,122.2111,81.9,8.59
Sechura,100,PE,1616149992,76,-5.5569,-80.8222,74.75,11.25
Ponta do Sol,40,PT,1616149751,63,32.6667,-17.1,66.99,11.5
Banjar,40,ID,1616150076,79,-8.19,114.9675,84.2,13.8
Honiara,100,SB,1616149681,84,-9.4333,159.95,79.39,1.21
Seredeyskiy,97,RU,1616150077,90,54.0507,35.2318,31.12,3.53
La Ronge,20,CA,1616149833,80,55.1001,-105.2842,28.4,1.14
Busselton,98,AU,1616149735,46,-33.65,115.3333,77.99,3.18
Albany,91,US,1616149729,33,42.6001,-73.9662,24.01,3
Port Hedland,90,AU,1616149917,54,-20.3167,118.5667,80.6,19.57
Carballo,40,ES,1616150079,76,43.213,-8.691,53.01,9.22
Tasiilaq,95,GL,1616149741,74,65.6145,-37.6368,28.4,3.44
Waslala,100,NI,1616150079,96,13.2333,-85.3833,68.36,2.24
Punta Arenas,90,CL,1616149734,87,-53.15,-70.9167,48.2,6.91
Puerto Escondido,0,MX,1616149973,65,15.85,-97.0667,74.48,4.05
Fairbanks,90,US,1616149834,78,64.8378,-147.7164,3,1.14
Solnechnyy,100,RU,1616150080,88,50.7214,136.6319,20.95,2.26
Seljord,75,NO,1616150080,69,59.4894,8.634,36,9.22
Ribas do Rio Pardo,85,BR,1616150080,86,-20.4431,-53.7592,73.89,6.46
Chokurdakh,8,RU,1616149730,76,70.6333,147.9167,-23.82,8.55
Castro,90,BR,1616149831,91,-24.7911,-50.0119,64.63,9.28
Warwick,90,US,1616150081,55,41.7001,-71.4162,34,26.46
Alugan,17,PH,1616150081,79,12.2188,125.4808,81.54,5.93
Birjand,40,IR,1616150042,9,32.8663,59.2211,82.4,21.85
Barabai,97,ID,1616150082,78,-2.5833,115.3833,80.89,2.59
Carnarvon,0,AU,1616149813,54,-24.8667,113.6333,86,11.5
Basse-Pointe,90,MQ,1616150082,83,14.8695,-61.115,73.4,5.75
Rikitea,100,PF,1616149736,76,-23.1203,-134.9692,80.42,16.58
Kudahuvadhoo,28,MV,1616149804,71,2.6708,72.8944,83.62,9.62
Saskylakh,100,RU,1616149756,93,71.9167,114.0833,-22.99,9.75
Norman Wells,75,CA,1616149769,78,65.282,-126.8329,-0.4,16.11
Leningradskiy,0,RU,1616149739,86,69.3833,178.4167,-21.3,1.41
Westport,20,US,1616149775,51,41.1415,-73.3579,35.6,16.11
