City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Atar,27,MR,1627855143,31,20.5169,-13.0499,308.17,4.74
Upernavik,23,GL,1627855111,80,72.7868,-56.1549,279.17,5.53
George Town,20,MY,1627854988,92,5.4112,100.3354,297.53,1.03
New Norfolk,20,AU,1627855367,83,-42.7826,147.0587,277.46,1.1
Saint-Philippe,49,RE,1627855367,77,-21.3585,55.7679,292.9,4.06
Saint Paul Harbor,93,US,1627855368,88,57.79,-152.4072,287.44,2.31
Atuona,31,PF,1627855151,69,-9.8,-139.0333,298.21,5.0
Ushuaia,52,AR,1627855369,90,-54.8,-68.3,275.26,3.05
Ribeira Grande,59,PT,1627855370,94,38.5167,-28.7,296.09,6.56
Faanui,36,PF,1627855217,68,-16.4833,-151.75,298.57,6.54
Bulgan,100,MN,1627855371,99,48.8125,103.5347,286.85,1.46
Cuamba,26,MZ,1627855372,73,-14.8031,36.5372,288.41,1.92
Mar del Plata,90,AR,1627855273,31,-38.0023,-57.5575,280.98,1.34
Okha,79,RU,1627855195,74,53.5739,142.9478,286.73,3.44
Severo-Kuril'sk,0,RU,1627855373,73,50.6789,156.125,286.22,6.53
Ilulissat,0,GL,1627855085,58,69.2167,-51.1,283.92,4.52
Adiaké,3,CI,1627855374,89,5.2863,-3.304,296.92,1.72
Moerai,94,PF,1627855375,76,-22.4333,-151.3333,296.68,8.62
Hermanus,94,ZA,1627855376,79,-34.4187,19.2345,286.98,0.98
Busselton,92,AU,1627855377,60,-33.65,115.3333,279.87,4.1
Puerto Ayora,51,EC,1627855378,88,-0.7393,-90.3518,295.68,4.47
Sergeevka,10,KZ,1627855378,81,53.88,67.4158,292.34,3.35
Inhambane,0,MZ,1627855379,77,-23.865,35.3833,290.94,2.73
Yellowknife,1,CA,1627855278,28,62.456,-114.3525,303.89,0.89
Souillac,38,MU,1627855266,75,-20.5167,57.5167,292.79,6.28
Whitehorse,4,CA,1627855380,26,60.7161,-135.0538,300.98,0.67
Geraldton,40,AU,1627855193,93,-28.7667,114.6,280.38,4.63
Tilichiki,100,RU,1627855152,65,60.4667,166.1,284.73,3.43
Port Lincoln,19,AU,1627855382,50,-34.7333,135.8667,284.45,11.44
Saqqez,23,IR,1627855383,58,36.2499,46.2735,292.85,1.29
Evensk,100,RU,1627855384,82,61.95,159.2333,280.51,8.01
Panabá,91,MX,1627855384,51,21.2833,-88.2667,306.53,6.67
Cláudio,32,BR,1627855385,51,-20.4433,-44.7658,289.8,2.28
